Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Location
Moxa Nport Device,titova+AF8-63,,,00:90:e8:11:f2:60,,,
Moxa Nport Device,McArthur,,,00:90:e8:11:f2:67,,,
Moxa Nport Device,Jeffery,,,00:90:e8:11:f2:77,,,
Moxa Nport Device,Stirling,,,00:90:e8:11:f2:ea,,,
Moxa Nport Device,NP5110+AF8-1501,,,00:90:e8:11:f6:e5,,,
Moxa Nport Device,NP5110+AF8-1642,,,00:90:e8:11:f7:72,,,
Moxa Nport Device,NP5110+AF8-2065,,,00:90:e8:11:f9:19,,,
Moxa Nport Device,NP5110+AF8-2996,,,00:90:e8:11:fc:bc,,,
Moxa Nport Device,NP5110+AF8-3096,,,00:90:e8:11:fd:20,,,
Moxa Nport Device,rm176+AF8-YSI,,,00:90:e8:11:fd:e9,,,
Moxa Nport Device,L+AF8-D+AF8-Acton,,,00:90:e8:11:fe:04,,,
Moxa Nport Device,Art+AF8-Centre,,,00:90:e8:11:fe:f6,,,
Moxa Nport Device,NP5232+AF8-112,,,00:90:e8:12:03:ea,,,
Moxa Nport Device,MOXA,,,00:90:e8:12:07:8f,,,
Moxa Nport Device,NP5130+AF8-478,,,00:90:e8:12:07:bc,,,
Moxa Nport Device,NP5210+AF8-255,,,00:90:e8:12:22:14,,,
Moxa Nport Device,NP5210+AF8-967,,,00:90:e8:12:24:dc,,,
Moxa Nport Device,NPort+AF8-1971,,,00:90:e8:12:28:c8,,,
Moxa Nport Device,NP5410+AF8-Port+AF8-McNeil+AF8-CM,,,00:90:e8:12:2d:d1,,,
Moxa Nport Device,NP5150+AF8-206,,,00:90:e8:12:43:ab,,,
Moxa Nport Device,NP5130+AF8-283,,,00:90:e8:12:48:a8,,,
Moxa Nport Device,NP5130+AF8-616,,,00:90:e8:12:49:f5,,,
Moxa Nport Device,NP5130+AF8-768,,,00:90:e8:12:4a:8d,,,
Moxa Nport Device,MMCN+AC0-TS,,,00:90:e8:12:4c:51,,,
Moxa Nport Device,NP5110+AF8-379,,,00:90:e8:12:4e:1c,,,
Moxa Nport Device,DAHAN,,,00:90:e8:12:51:be,,,
Moxa Nport Device,NP5110+AF8-1320,,,00:90:e8:12:51:c9,,,
Moxa Nport Device,MP,,,00:90:e8:12:51:df,,,
Moxa Nport Device,TU,,,00:90:e8:12:51:e9,,,
Moxa Nport Device,NP5110+AF8-1360,,,00:90:e8:12:51:f1,,,
Moxa Nport Device,NP5110+AF8-1408,,,00:90:e8:12:52:21,,,
Moxa Nport Device,NP5110+AF8-1428,,,00:90:e8:12:52:35,,,
Moxa Nport Device,NP5110+AF8-1429,,,00:90:e8:12:52:36,,,
Moxa Nport Device,NP5110+AF8-1437,,,00:90:e8:12:52:3e,,,
Moxa Nport Device,NP5110+AF8-1460,,,00:90:e8:12:52:55,,,
Moxa Nport Device,NP5110+AF8-1468,,,00:90:e8:12:52:5d,,,
