Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NP5110,,00:90:e8:15:e7:1f,,,
Moxa,NP5110,,00:90:e8:15:ea:15,,,
Moxa,NP5110,,00:90:e8:15:ea:1d,,,
Moxa,NP5110,,00:90:e8:15:ea:34,,,
Moxa,NP5110,,00:90:e8:15:ea:3a,,,
Moxa,NP5110,,00:90:e8:15:ea:c1,,,
Moxa,NP5110,,00:90:e8:15:eb:37,,,
Moxa,NP5110,,00:90:e8:15:ec:bf,,,
Moxa,NP5110,,00:90:e8:15:ec:d6,,,
Moxa,NP5110,,00:90:e8:15:f5:6c,,,
Moxa,NP5110,,00:90:e8:15:f5:aa,,,
Moxa,NP5110,,00:90:e8:15:f5:b6,,,
Moxa,NP5110,,00:90:e8:15:f5:ea,,,
Moxa,NP5150,,00:90:e8:16:48:73,,,
Moxa,NP5210,,00:90:e8:16:4f:18,,,
Moxa,NP5210,,00:90:e8:16:4f:25,,,
Moxa,NP5210,,00:90:e8:16:4f:26,,,
Moxa,NP5210,,00:90:e8:16:50:62,,,
Moxa,NP5210,,00:90:e8:16:50:fb,,,
Moxa,NP5210,,00:90:e8:16:51:7c,,,
Moxa,NP5210,,00:90:e8:16:51:80,,,
Moxa,NP5210,,00:90:e8:16:57:7c,,,
Moxa,NP5210,,00:90:e8:16:57:9e,,,
Moxa,NP5210,,00:90:e8:16:57:b2,,,
Moxa,NP5210,,00:90:e8:16:57:c9,,,
Moxa,NP5210,,00:90:e8:16:58:69,,,
Moxa,NP5210,,00:90:e8:16:58:e6,,,
Moxa,NP5210,,00:90:e8:16:59:15,,,
Moxa,NP5210,,00:90:e8:16:59:25,,,
Moxa,NP5210,,00:90:e8:16:59:26,,,
Moxa,NP5210,,00:90:e8:16:59:28,,,
Moxa,NP5210,,00:90:e8:16:59:2c,,,
Moxa,NP5110,,00:90:e8:16:6a:45,,,
Moxa,NP5110,,00:90:e8:16:6a:6c,,,
Moxa,NP5110,,00:90:e8:16:6a:8a,,,
Moxa,NP5110,,00:90:e8:16:6f:4e,,,
Moxa,NP5110,,00:90:e8:16:76:fd,,,
Moxa,NP5232,,00:90:e8:16:91:ea,,,
Moxa,G3110,,00:90:e8:16:a6:4c,,,
Moxa,G3110,,00:90:e8:16:a6:4c,,,
Moxa,G3110,,00:90:e8:16:a6:b0,,,
Moxa,G3110,,00:90:e8:16:a6:b0,,,
Moxa,G3110,,00:90:e8:16:a6:b0,,,
Moxa,G3150,,00:90:e8:16:a6:c2,,,
Moxa,G3150,,00:90:e8:16:a6:c8,,,
Moxa,G3150,,00:90:e8:16:a6:dd,,,
Moxa,G3150,,00:90:e8:16:a6:e3,,,
Moxa,G3150,,00:90:e8:16:a7:2c,,,
Moxa,G3150,,00:90:e8:16:a7:3c,,,
Moxa,NP5110,,00:90:e8:16:b4:d4,,,
Moxa,NP5110,,00:90:e8:16:b4:f2,,,
Moxa,NP5110,,00:90:e8:16:b4:f4,,,
Moxa,NP5110,,00:90:e8:16:b5:26,,,
Moxa,NP5110,,00:90:e8:16:b5:27,,,
Moxa,NP5110,,00:90:e8:16:b7:09,,,
Moxa,NP5110,,00:90:e8:16:b7:0e,,,
Moxa,NP5110,,00:90:e8:16:b7:21,,,
Moxa,NP5110,,00:90:e8:16:b8:5d,,,
Moxa,NP5110,,00:90:e8:16:b8:6c,,,
